Albanian (Standardized),English,Type,Confidence,Usefulness,Date Learned
Me diell,Sunny,Adjective,Mastered,10,3/4/2026
Me re,Cloudy,Adjective,Needs Improvement,10,3/4/2026
Me shi,Rainy,Adjective,Mastered,10,3/4/2026
Me borë,Snowy,Adjective,Almost There,10,3/4/2026
Me erë,Windy,Adjective,Almost There,10,3/4/2026
Me stuhi,Stormy,Adjective,New,10,3/4/2026
Me mjegull,Foggy,Adjective,Almost There,10,3/4/2026
Me shkretima,Lightning-y,Adjective,New,9,3/4/2026
Këto/këta,These,Adjective,New,9,2/19/2026
i/e shtrenjtë,expensive,Adjective,New,9,2/17/2026
E plotë,Full,Adjective,New,8,3/6/2026
I parë,First,Adjective,New,8,3/6/2026
E dyta,Second,Adjective,New,8,3/6/2026
E/i mërzitur,Bored / Unsatisfied / sad,Adjective,New,8,2/17/2026
i/e zgjuar,Smart,Adjective,New,8,2/17/2026
gazmor/e,funny,Adjective,New,8,2/17/2026
i/e qetë,quiet,Adjective,New,8,2/17/2026
i/e zëmëruar,angry,Adjective,New,8,2/17/2026
i/e kripur,salty,Adjective,New,8,2/17/2026
Sigurt,"Sure, confident",Adjective,New,7,2/19/2026
Mbarë,Prosperous,Adjective,New,7,2/19/2026
I/e ndryshëm,Different,Adjective,New,7,2/19/2026
I zënë,Busy,Adjective,New,7,2/17/2026
i/e pastër,clean,Adjective,New,7,2/17/2026
i/e vjetër,old,Adjective,New,7,2/17/2026
i/e ngadaltë,slow (of a noun),Adjective,New,7,2/17/2026
i/e ulët,low,Adjective,New,7,2/17/2026
i/e lagur,wet,Adjective,New,7,2/17/2026
i/e tharë,dry,Adjective,New,7,2/17/2026
i/e rëndë,heavy,Adjective,New,7,2/17/2026
i/e errët,dark,Adjective,New,7,2/17/2026
i/e ndriçuar,light,Adjective,New,7,2/17/2026
i zhhurmshëm/e,loud,Adjective,New,7,2/17/2026
krenar/e,proud,Adjective,New,7,2/17/2026
i/e turpëruar,shame / embarrassed,Adjective,New,7,2/17/2026
Kryesor,Main,Adjective,New,6,2/17/2026
e ngjashme,Similar,Adjective,New,6,2/17/2026
i/e shëndoshë,fat,Adjective,New,6,2/17/2026
i/e hollë,thin,Adjective,New,6,2/17/2026
i/e shëmtuar,ugly,Adjective,New,5,2/17/2026
Gri,Grey,Adjective,New,3,2/17/2026
i/e trishtuar,Sad,Adjective,Needs Improvement,8,2/17/2026
dembel/e,lazy,Adjective,Needs Improvement,8,2/17/2026
Çdo,Every,Adjective,Needs Improvement,7,2/23/2026
i/e shkurtër,short,Adjective,Needs Improvement,7,2/17/2026
i/e lartë,high,Adjective,Needs Improvement,7,2/17/2026
serioz/e,serious,Adjective,Needs Improvement,7,2/17/2026
i/e bardhë,White,Adjective,Needs Improvement,5,2/17/2026
i/e vogël,Small,Adjective,Needs Improvement,5,2/17/2026
i madh / e madhe,Large / Big,Adjective,Needs Improvement,5,2/17/2026
i/e saj,Her,Adjective,Needs Improvement,5,2/17/2026
i/e tyre,Their,Adjective,Needs Improvement,5,2/17/2026
Tjetër,Next / Other,Adjective,Needs Improvement,5,2/17/2026
i/e preferuara,Favorite,Adjective,Needs Improvement,5,2/17/2026
I zi / E zezë,Black,Adjective,Needs Improvement,5,2/17/2026
Lejla / Vjollcë,Purple,Adjective,Needs Improvement,5,2/17/2026
Rozë,Pink,Adjective,Needs Improvement,5,2/17/2026
i/e vështirë,Difficult,Adjective,Needs Improvement,5,2/17/2026
i/e lehtë,Easy or light,Adjective,Needs Improvement,5,2/17/2026
I tij / E tij,His,Adjective,Needs Improvement,5,2/17/2026
i/e kaluar,Last / Past,Adjective,Needs Improvement,5,2/17/2026
I verdhë / E verdhë,Yellow,Adjective,Needs Improvement,5,2/17/2026
Ynë / Jonë,Our,Adjective,Needs Improvement,5,2/17/2026
Rehat,Calm / Chill,Adjective,Needs Improvement,5,2/17/2026
i/e këndshëm,Nice / Pleasant,Adjective,Needs Improvement,5,2/17/2026
i/e zier,Boiled,Adjective,Needs Improvement,5,2/17/2026
i/e shpejtë,quick (of a noun),Adjective,Mastered,8,2/17/2026
i/e pistë,dirty,Adjective,Mastered,7,2/17/2026
i ri / e re,new,Adjective,Mastered,7,2/17/2026
i/e gjatë,tall or long,Adjective,Mastered,7,2/17/2026
i fortë/e forte,Strong,Adjective,Mastered,7,2/17/2026
i/e trashë,thick / dumb,Adjective,Mastered,6,2/17/2026
Im / Ime,My,Adjective,Mastered,5,2/17/2026
Keq,Bad,Adjective,Mastered,5,2/17/2026
Mirë,Good,Adjective,Mastered,5,2/17/2026
Shqip,Albanian (language),Adjective,Mastered,5,2/17/2026
I saktë,Correct,Adjective,Mastered,5,2/17/2026
Njësoj,Same,Adjective,Mastered,5,2/17/2026
Blu,Blue,Adjective,Mastered,5,2/17/2026
Jeshil,Green,Adjective,Mastered,5,2/17/2026
Pritës,Host,Adjective,Mastered,5,2/17/2026
i/e lirë,cheap or free,Adjective,Almost There,10,2/17/2026
Kurioz,Curious,Adjective,Almost There,8,2/17/2026
i/e rëndësishme,important,Adjective,Almost There,8,2/17/2026
punëtor/e,hard working,Adjective,Almost There,8,2/17/2026
Ai / Ajo,That (M/F),Adjective,Almost There,8,2/17/2026
I shijshëm/e shijshme,Delicious,Adjective,Almost There,8,2/17/2026
Pikante,Spicy,Adjective,Almost There,8,2/17/2026
I/e çmendur,Crazy,Adjective,Almost There,7,2/17/2026
i/e dobët,Weak or skinny,Adjective,Almost There,7,2/17/2026
Me fat,Lucky,Adjective,Almost There,7,2/17/2026
I fundit,Last,Adjective,Almost There,6,2/17/2026
Kafe,Brown,Adjective,Almost There,6,2/17/2026
I kuq / E kuqe,Red,Adjective,Almost There,5,2/17/2026
I bukur,Beautiful,Adjective,Almost There,5,2/17/2026
Ngjyra / Me ngjyra,Colors / Colorful (adj),Adjective,New,6,3/13/2026
Të dyja,Both,Adjective,New,8,3/13/2026
Sjellshëm,Polite,Adjective,New,8,3/13/2026
I / E shqetësuar,Worried,Adjective,New,7,3/13/2026
mbrëmë,last night,Adverb,New,9,3/3/2026
Tepër,A lot / Too much,Adverb,New,8,3/4/2026
Më tepër,The most,Adverb,New,8,3/4/2026
më parë,earlier,Adverb,New,8,3/3/2026
Seriozisht,Seriously,Adverb,New,7,3/4/2026
Tashmë,Already,Adverb,New,7,2/20/2026
Sapo,As soon as,Adverb,New,7,2/17/2026
Ndërsa,Meanwhile / Whereas,Adverb,New,6,2/17/2026
Kurdo,Whenever,Adverb,New,5,2/17/2026
Djathtas,Right,Adverb,Needs Improvement,9,2/17/2026
Akoma,"Yet, still",Adverb,Needs Improvement,7,2/20/2026
Sigurisht,Certainly / Sure,Adverb,Needs Improvement,5,2/17/2026
Shpesh,Often,Adverb,Needs Improvement,5,2/17/2026
Gjithashtu,Likewise,Adverb,Needs Improvement,5,2/17/2026
Ndonjëherë,Sometimes,Adverb,Needs Improvement,5,2/17/2026
Zakonisht,Usually,Adverb,Needs Improvement,5,2/17/2026
Ndoshta,Maybe and probably,Adverb,Needs Improvement,5,2/17/2026
Fare,At all,Adverb,Needs Improvement,5,2/17/2026
Avash,Slowly / Softly,Adverb,Mastered,10,2/17/2026
Vetëm,Just / Only,Adverb,Mastered,8,2/17/2026
Pastaj,After / Then,Adverb,Mastered,7,2/17/2026
Përsëri,Again,Adverb,Mastered,7,2/17/2026
Patjetër,Definitely / Of course / at all costs (when used at the end of a sentence),Adverb,Mastered,5,2/17/2026
Po,Yes,Adverb,Mastered,5,2/17/2026
Jo,No,Adverb,Mastered,5,2/17/2026
Sot,Today,Adverb,Mastered,5,2/17/2026
Nesër,Tomorrow,Adverb,Mastered,5,2/17/2026
Fiks,Exactly,Adverb,Mastered,5,2/17/2026
